JI,Henry Liston Euharmonic Organ (Calcutta 1812),,,Alt tunings,8,Image,2,,,,,,,,,,,,
,,Standard Tuning,,"Alternate Tuning 1 (""Grave 1"")",,"Alternate Tuning 2 (""Grave 2"")",,"Alternate Tuning 3 (""Extreme Sharp 2"")",,"Alternate Tuning 4 (""Extreme Sharp 1"")",,"Alternate Tuning 5 (""Extreme Flat 2""",,"Alternate Tuning 6 (""Extreme Flat 1"")",,"Alternate Tuning 7 (""Acute 1"")",,"Alternate Tuning 8 (""Acute 2"")",
,,,,1,,0,,2,,3,,4,,5,,6,,7,
Key #:,Key:,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name
73,A6,1639.2,A-1,1639.2,A-1,1639.2,A-1,1639.2,A-1,1639.2,A-1,1639.2,A-1,1639.2,A-1,1660,A-1,1660,A-1
74,A#6,1748.8,Bb,1748.8,Bb,1748.8,Bb,1729.12,A#-2,1729.12,A#-2,1748.8,Bb,1748.8,Bb,1770.64,Bb+1,1770.64,Bb+1
75,B6,1844.48,B-1,1844.48,B-1,2221.6,B-2,1844.48,B-1,1844.48,B-1,1865.36,Cb+1,1844.48,B-1,1888.72,Cb+2,1867.52,B
76,C7,1967.36,C,1945.36,B#-2,1943.04,C-1,1945.36,B#-2,1967.36,C,1967.36,C,1967.36,C,1945.36,B#-2,1993.6,C+1
77,C#7,2074.96,C#-1,2048.96,C#-2,2048.96,C#-2,2074.96,C#-1,2074.96,C#-1,2098.16,Db+1,2098.16,Db+1,2074.96,C#-1,2074.96,C#-1
78,D7,2213.28,D,2186,D-1,2186,D-1,2213.28,D,2213.28,D,2213.28,D,2213.28,D,2213.28,D,2213.28,D
79,D#7,2360.88,Eb+1,2331.68,Eb,2331.68,Eb,2305.52,D#-2,2305.52,D#-2,2360.88,Eb+1,2360.88,Eb+1,2360.88,Eb+1,2360.88,Eb+1
80,E7,2459.2,E-1,2459.2,E-1,2459.2,E-1,2459.2,E-1,2459.2,E-1,2459.2,E-1,2459.2,E-1,2490.4,E,2490.4,E
81,F7,2623.12,F,2561.2,E#-3,2561.2,E#-3,2593.68,E#-2,2623.12,F,2623.12,F,2623.12,F,2656,F+1,2656,F+1
82,F#7,2766.56,F#-1,2732.48,F#-2,2732.48,F#-2,2766.56,F#-1,2766.56,F#-1,2798.08,Gb+1,2766.56,F#-1,2833.04,Gb+2,2833.04,Gb+2
83,G7,2951.12,G,2951.12,G,2951.12,G-1,2951.12,G,2951.12,G,2951.12,G,2951.12,G,2951.12,G,2988,G+1
84,G#7,3074,G#-2,3074,G#-2,3074,G#-2,3074,G#-2,3074,G#-2,3147.76,Ab+1,3147.76,Ab+1,3112.48,G#-1,3112.48,G#-1
85,A7,3278.4,A-1,3278.4,A-1,3278.4,A-1,3278.4,A-1,3278.4,A-1,3278.4,A-1,3278.4,A-1,3320,A-1,3320,A-1
86,A#7,3497.6,Bb,3497.6,Bb,3497.6,Bb,3458.24,A#-2,3458.24,A#-2,3497.6,Bb,3497.6,Bb,3541.28,Bb+1,3541.28,Bb+1
87,B7,3688.96,B-1,3688.96,B-1,4443.2,B-2,3688.96,B-1,3688.96,B-1,3730.72,Cb+1,3688.96,B-1,3777.44,Cb+2,3735.04,B
88,C8,3934.72,C,3890.72,B#-2,3886.08,C-1,3890.72,B#-2,3934.72,C,3934.72,C,3934.72,C,3890.72,B#-2,3987.2,C+1
